SentenceNumber,Chapter,Section,Kernewek,English
1,1,Review,"Dydh da, Ken. Fatla genes?","Hullo, Ken. How are you?"
2,1,Review,"Dydh da, Charles.","Hullo, Charles."
3,1,Review,"Yn poynt da, meur ras, ha ty?","Fine, thanks, and you?"
4,1,Review,"Myttin da, Maria. Fatla genes?","Good morning, Mary. How are you?"
5,1,Review,"Da lowr, Maureen - ha ty, - fatla genes?","Fairly well, Maureen - and you, how are you?"
6,1,Review,"Yn poynt da, meur ras.","Very well, thanks."
7,1,Review,"Gorthugher da, Loveday.","Good evening, Loveday."
8,1,Review,"Gorthugher da, Jane.","Good evening, Jane."
9,1,Review,Ottomma Jori.,Here's George.
10,1,Review,"Gorthugher da, Jori - fatla genes?","Good evening, George - how are you?"
11,1,Review,"Yn poynt da, meur ras.","Fine, thanks."
12,1,Review,"Nos dha, oll!","Good night, all."
13,1,Review,"Nos dha, Wella!","Good night, Wella."
14,1,Review,"Dohajydh da, Ann.","Good afternoon, Ann."
15,1,Review,"Dohajydh da, Malcolm - fatla genes?","Good afternoon, Malcolm - how are you?"
16,1,Review,"Da lowr, meur ras - ha ty?","Well enough, thanks - and you?"
17,1,Review,"Da lowr, meur ras.","Quite well, thanks."
18,1,Review,"Dydh da, Maria.","Hullo, Mary."
19,1,Review,"Dydh da, Wella - ottomma Stefan.","Hullo, Wella - here's Stephen."
20,1,Review,"Dydh da, Stefan.","Hullo, Stephen."
21,2,Review,Ottena eglos!,"Look, a church there!"
22,2,Review,Yma chi ryb an eglos.,There's a house beside the church.
23,2,Review,Eus karrji ena ryb an chi?,Is there a garage there beside the house?
24,2,Review,Nag eus! Nyns eus karrji ena.,No! There isn't a garage there.
25,2,Review,Mes yma karr a-rag an chi.,But there is a car in front of the house.
26,2,Review,Ottomma lyver!,"Look, here's a book!"
27,2,Review,Yma pluvenn a-ji dhe'n lyver.,There's a pen inside the book.
28,2,Review,Eus pluvennow genes? Nag eus!,Are there pens with you? No!
29,2,Review,"Gorthugher da! Eus le gesys, mar pleg?","Good evening! Is there a place left,please?"
30,2,Review,Eus! Yma leow gesys.,Yes! There are places left.
31,2,Review,Eus kador ena?,Is there a chair there?
32,2,Review,"Eus, sur!","There is, certainly!"
33,2,Review,Eus kador ha pluvek ena?,Is there a chair and a cushion there?
34,2,Review,Nag eus!,There isn't!
35,2,Review,Eus jynn-skrifa war an desk?,Is there a typewriter on the desk?
36,2,Review,Eus avalow gesys?,Are there any apples left?
37,2,Review,Eus! Ottena! Yma avalow ena.,There are! Look! There are apples there!
38,4,Examples,Yma nebonan a-ji dhe'n eglos na.,There is someone inside that church.
39,4,Examples,Yma neppyth a-ragh an chi ma.,There is something in front of this house.
40,4,Review,An brithel ma yw bryntin.,This mackerel is excellent.
41,4,Review,Yma an gador-vregh ena.,The armchair is there.
42,4,Review,Eus sinema ryb hel an dre?,Is there a cinema by the town hall?
43,4,Review,"Nyns eus kenter omma, dell hevel.","There is no nail here, it seems."
44,4,Review,Ottena - yma an genter war an eurlenn.,Look there - there's the nail on the carpet.
45,4,Review,Eus stamp gesys? Nag eus!,Is there a stamp left? No!
46,4,Review,"Yma mebyl gesys ena y'n chi: kador-vregh, kador, gweder ha lestrier mes nyns eus moes ena.","There is furniture left in the house: an arm-chair, chair, mirror and dresser but there isn't a table there."
47,4,Review,Eus nebonan ena a-ji dhe'n pras?,Is there anyone there in the field?
48,4,Review,Eus stamp genes?,Have you a stamp?
49,4,Review,Yma pras war an woen hag yma chi ryb an pras na.,There's a field on the down and there's a house by that field.
50,4,Review,"Sur, yma lyver war an voes.",Certainly there is a book on the table.
51,4,Review,Eus neppyth gesys ena? Eus!,Is there anything left? Yes!
52,4,Review,"Yma avalow gesys, dell hevel.","There are apples left, it seems."
53,4,Review,Yma an dhavas ena y'n pras na.,The sheep is in that field.
54,5,Examples,An diwes ma yw gwin frynkek.,That drink is French wine.
55,5,Examples,An chi na yw ostel.,That house is an hotel.
56,5,Examples,Hemm yw an gegin.,This is the kitchen.
57,5,Examples,Henn yw Frank.,That is Frank.
58,5,Examples,Frank yw henna.,Frank is that man.
59,5,Examples,An losow yw eythin.,The plants are gorse.
60,5,Examples,An traow ma yw prenn.,Those things are wood.
61,5,Examples,Nyns yw an diwes ma gwin frynkek.,That drink is not French wine.
62,5,Examples,Nyns yw an chi na ostel.,That house is not an hotel.
63,5,Examples,Nyns yw hemma an gegin.,This is not the kitchen.
64,5,Examples,Nyns yw Frank henna.,Frank is not that man
65,5,Examples,Nyns yw an losow eythin.,The plants are not gorse.
66,5,Examples,Yw an diwes ma gwin frynkek?,Is this drink French wine?
67,5,Examples,Yw an chi na ostel?,Is that house an hotel?
68,5,Examples,Yw hemma an gegin?,Is this the kitchen?
69,5,Examples,Yw henna Frank?,Is that Frank?
70,5,Examples,Yw an losow eythin?,Are the plants gorse?
71,5,Examples,Yw an traow ma prenn?,Are these things wood?
72,5,Examples,Yw an drehevyans na hel an dre?,Is that building the town hall?
73,5,Examples,Yw an gwydh ma derow? Yns.,Are these trees oaks? Yes.
74,5,Examples,Yw an chiow na ostelyow? Nag yns.,Are those houses hotels? No.
75,5,Examples,Pyth yw hemma?,What is that?
76,5,Examples,Maylyer gwag yw.,It's an empty envelope.
77,5,Examples,Pyth yw an re na?,What are those?
78,5,Examples,Skeusennow koth yns.,They are old photographs.
79,5,Review,Hemm yw pluvenn.,This is a pen.
80,5,Review,An re ma yw pluvennow.,These are pens.
81,5,Review,Henn yw chi.,That is a house.
82,5,Review,An re na yw chiow.,Those are houses.
83,5,Review,An drehevyans na yw eglos.,That building is a church.
84,5,Review,An eglos yw an drehevyans na.,The church is that buuilding.
85,5,Review,An dre ma yw Logh.,This town is Looe.
86,5,Review,Homm yw Myrna ha honn yw Pat.,This is Myrna and that is Pat.
87,5,Review,An diwes ma yw gwin.,This drink is wine.
88,5,Review,Pyth yw an dra ma?,What is this object?
89,5,Review,Henn yw kenter.,That is a nail.
90,5,Review,Nyns yw an dra ma prenn.,This object is not wood.
91,5,Review,Nyns yw hemma an gegin.,This is not the kitchen.
92,5,Review,Nyns yw an drehevyans ma ostel.,This building is not an hotel.
93,5,Review,Pyth yw an mebyl omma?,What is the furniture here?
94,5,Review,"An re ma yw an mebyl, an voes ma, an gador-vregh ma ha'n lestrier na.","These (things) are the furniture, this table, this armchair and that dresser."
95,5,Review,Yw henna brithel? Yw!,Is that a mackerel? It is!
96,5,Review,Yw an re ma losow? Yns!,Are these plants? They are!
97,5,MiscReview,Eus eglos y'n dre ma?,Is there a church in this town?
98,5,MiscReview,Eus! Yma an eglos ryb hel an dre,There is! The church is beside the town hall.
99,5,MiscReview,Yw an gwin ma bretonek?,Is this wine Breton?
100,5,MiscReview,Hemma. Hemm yw bretonek.,This.This is Breton.
101,5,MiscReview,Eus pluvek war an gador-vregh na?,Is there a cushion on that arm-chair?
102,5,MiscReview,"Eus, dell hevel.","There is, it seems."
103,5,MiscReview,Eus diwes gesys?,Is there (any) drink left?
104,5,MiscReview,Nag eus! Nyns eus tra omma.,There isn't. There's nothing here.
105,6,Review,"An den na yw feusik, dell hevel.","That man is lucky, it seems."
106,6,Review,An fordh ma yw kul.,This road is narrow.
107,6,Review,James ha Lowena yw parow.,James and Lowena are equals.
108,6,Review,Yw an mebyl parys? Nag yns.,Is the furniture ready? No.
109,6,Review,"An lyver ma yw dhe les, dell dybav.","This book is useful, I think."
110,6,Review,Ottomma kenter war an gador ma.,"Look, here's a nail on this chair."
111,6,Review,"Homm yw fol, sur.","This is silly, surely."
112,6,Review,Hel an dre yw nowydh mes an eglos yw koth.,The town hall is new but the church is old.
113,6,Review,An gwin ma yw hweg. Bryntin!,This wine is sweet. Fine!
114,6,Review,An chi yw gwerthys lemmyn.,The house is sold now.
115,6,Review,An voes ma yw derow.,This table is oak.
116,6,Review,An gweder ma yw dhe les.,This mirror is useful.
117,6,Review,Yw an maw salow ena?,Is the boy safe there?
118,6,Review,Hemm yw brav!,This is grand!
119,6,Review,Nyns yw an losow byw.,The plants are not alive.
120,6,Review,A nyns yw an maw ma skav?,Isn't this boy quick?
121,6,Review,"Yw, sur.","He is, certainly."
122,6,Review,A nyns yw an re ma parow?,Aren't these equal?
123,6,Review,"Yns, dell hevel.","They are, it seems."
124,6,MiscReview,"Dydh da, Maureen. Brav yw lemmyn.","Hello, Maureen. It's grand now."
125,6,MiscReview,Eus gwin gesys? Eus! Yma gwin y'n gegin.,Is there (any) wine left? There is! There's wine in the kitchen.
126,6,MiscReview,Fatla genowgh hwi oll?,How are you all?
127,6,MiscReview,Eus fordh ryb an pras na?,Is there a road beside that field?
128,6,MiscReview,Ottena pluvek war an gador na.,Look there's a cushion on that chair.
129,6,MiscReview,Yma nebonan y'n gegin lemmyn.,There is someone in the kitchen now.
130,6,MiscReview,An ostel na yw bryntin.,That hotel is fine.
131,6,MiscReview,"Duw genes, Peder!","Goodbye, Peter!"
132,6,MiscReview,An drehevyans a-rag an chi yw karrji.,The building in front of the house is a garage.
133,6,MiscReview,Eus traow gesys war an lestrier?,Are there things left on the dresser?
